#SampleID	Date	Week	Year	Location	Tissue	Replicate	Sample_or_Control	Run	Product	Stage	Fortnight	Name	SiteYear
Sample140	6.6.20	6	2020	PLP	Stem	2	True Sample	Run2	Stem	Set	3	6-6-20-SP-2	PLP20
Sample141	6.6.20	6	2020	PLP	Stem	3	True Sample	Run2	Stem	Set	3	6-6-20-SP-3	PLP20
Sample142	6.6.20	6	2020	PLP	Stem	4	True Sample	Run2	Stem	Set	3	6-6-20-SP-4	PLP20
Sample143	6.8.20	6	2020	SWMREC	Green	1	True Sample	Run1	Fruit	Set	3	6-8-20-GM-1	SWMREC
Sample144	6.8.20	6	2020	SWMREC	Green	2	True Sample	Run1	Fruit	Set	3	6-8-20-GM-2	SWMREC
Sample145	6.8.20	6	2020	SWMREC	Green	3	True Sample	Run1	Fruit	Set	3	6-8-20-GM-3	SWMREC
Sample146	6.8.20	6	2020	SWMREC	Green	4	True Sample	Run1	Fruit	Set	3	6-8-20-GM-4	SWMREC
Sample147	6.8.20	6	2020	SWMREC	Leaf	1	True Sample	Run2	Leaf	Set	3	6-8-20-LM-1	SWMREC
Sample148	6.8.20	6	2020	SWMREC	Leaf	2	True Sample	Run2	Leaf	Set	3	6-8-20-LM-2	SWMREC
Sample149	6.8.20	6	2020	SWMREC	Leaf	3	True Sample	Run2	Leaf	Set	3	6-8-20-LM-3	SWMREC
Sample150	6.8.20	6	2020	SWMREC	Leaf	4	True Sample	Run2	Leaf	Set	3	6-8-20-LM-4	SWMREC
Sample151	6.8.20	6	2020	SWMREC	Stem	1	True Sample	Run2	Stem	Set	3	6-8-20-SM-1	SWMREC
Sample152	6.8.20	6	2020	SWMREC	Stem	2	True Sample	Run2	Stem	Set	3	6-8-20-SM-2	SWMREC
Sample153	6.8.20	6	2020	SWMREC	Stem	3	True Sample	Run2	Stem	Set	3	6-8-20-SM-3	SWMREC
Sample154	6.8.20	6	2020	SWMREC	Stem	4	True Sample	Run2	Stem	Set	3	6-8-20-SM-4	SWMREC
Sample155	6.10.21	6	2021	PLP	Green	1	True Sample	Run1	Fruit	Set	3	6-10-21-GP-1	PLP21
Sample156	6.10.21	6	2021	PLP	Green	2	True Sample	Run1	Fruit	Set	3	6-10-21-GP-2	PLP21
Sample157	6.10.21	6	2021	PLP	Green	3	True Sample	Run1	Fruit	Set	3	6-10-21-GP-3	PLP21
Sample158	6.10.21	6	2021	PLP	Green	4	True Sample	Run1	Fruit	Set	3	6-10-21-GP-4	PLP21
Sample159	6.10.21	6	2021	PLP	Leaf	1	True Sample	Run1	Leaf	Set	3	6-10-21-LP-1	PLP21
Sample160	6.10.21	6	2021	PLP	Leaf	2	True Sample	Run1	Leaf	Set	3	6-10-21-LP-2	PLP21
Sample161	6.10.21	6	2021	PLP	Leaf	3	True Sample	Run1	Leaf	Set	3	6-10-21-LP-3	PLP21
Sample162	6.10.21	6	2021	PLP	Leaf	4	True Sample	Run1	Leaf	Set	3	6-10-21-LP-4	PLP21
Sample163	6.10.21	6	2021	PLP	Stem	1	True Sample	Run2	Stem	Set	3	6-10-21-SP-1	PLP21
Sample164	6.10.21	6	2021	PLP	Stem	2	True Sample	Run2	Stem	Set	3	6-10-21-SP-2	PLP21
