OTU,Kingdom,Phylum,Class,Order,Family,Genus,primary_lifestyle,Secondary_lifestyle,Endophytic_interaction_capability_template,Decay_substrate_template,Aquatic_habitat_template,Growth_form_template,Fruitbody_type_template,Hymenium_type_template
OTU_276,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,soil_saprotroph,0,0,soil,non-aquatic,filamentous_mycelium,agaricoid,gills
OTU_277,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Tremella,mycoparasite,0,0,fungal_material,non-aquatic,dimorphic_yeast,0,0
OTU_281,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Kondoaceae,Kondoa,unspecified_saprotroph,0,0,unspecified,0,dimorphic_yeast,0,0
OTU_285,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Phragmidiaceae,Arthuriomyces,plant_pathogen,plant_pathogen,no_endophytic_capacity,0,non-aquatic,filamentous_mycelium,rust,other
OTU_291,Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_301,Fungi,Basidiomycota,Cystobasidiomycetes,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_313,Fungi,Basidiomycota,Cystobasidiomycetes,Cystobasidiales,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_321,Fungi,Basidiomycota,Tremellomycetes,Tremellales,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_326,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Dioszegia,litter_saprotroph,0,0,leaf/fruit/seed,non-aquatic,yeast,0,0
OTU_331,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_334,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Stereum,wood_saprotroph,0,0,wood,non-aquatic,filamentous_mycelium,polyporoid,smooth
OTU_335,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,wood_saprotroph,0,0,wood,non-aquatic,filamentous_mycelium,polyporoid,poroid
OTU_339,Fungi,Basidiomycota,Agaricomycetes,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_340,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Cylindrobasidium,wood_saprotroph,0,0,wood,non-aquatic,filamentous_mycelium,corticioid,smooth
OTU_342,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Bulleribasidium,unspecified_saprotroph,0,0,unspecified,non-aquatic,dimorphic_yeast,0,0
OTU_351,Fungi,Basidiomycota,Tremellomycetes,Tremellales,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_357,Fungi,Basidiomycota,Cystobasidiomycetes,,Symmetrosporaceae,Symmetrospora,epiphyte,0,no_endophytic_capacity,leaf/fruit/seed,partly_marine_(partly_non-aquatic),yeast,none,none
OTU_362,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Oxyporus,wood_saprotroph,0,0,wood,non-aquatic,filamentous_mycelium,polyporoid,poroid
OTU_368,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,wood_saprotroph,plant_pathogen,0,wood,non-aquatic,filamentous_mycelium,corticioid,smooth
OTU_370,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,wood_saprotroph,0,0,wood,non-aquatic,filamentous_mycelium,polyporoid,poroid
OTU_371,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,wood_saprotroph,0,0,wood,non-aquatic,filamentous_mycelium,agaricoid,gills
OTU_380,Fungi,Basidiomycota,Exobasidiomycetes,Entylomatales,Entylomataceae,Entyloma,plant_pathogen,0,no_endophytic_capacity,0,non-aquatic,filamentous_mycelium,smut,other
